"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"119","grey","GO:0051721","protein phosphatase 2A binding","16/3701","29/16969",9.01678310421916e-05,0.00892661527317697,0.00806764804061715,"207/23141/10776/91272/55917/1978/2029/3156/9258/51400/5520/5770/23381/8877/6801/7157",16
"123","grey","GO:0001883","purine nucleoside binding","98/3701","321/16969",0.00014933113492807,0.00962808309021916,0.00870161682794927,"122622/116987/50808/205/23647/285598/200894/10124/55207/51062/998/1612/1759/10059/1785/26052/51143/1938/79631/9343/30844/1968/9669/2288/85476/2747/2768/2771/2778/2781/54707/2935/23708/8225/29083/2982/60558/10767/3265/3326/64792/11020/3643/126298/3845/9258/55669/166785/744/92170/26164/4528/28512/4882/4893/318/221443/29789/5106/8766/201475/51552/376267/22931/81876/23011/57403/51715/53917/57111/8934/5862/84932/9609/23682/116442/5869/4218/9367/51209/55684/5901/57826/65997/51285/6016/10670/10325/64121/6242/55964/10801/6674/6729/6734/58477/7284/139596",98
"125","grey","GO:0032550","purine ribonucleoside binding","97/3701","318/16969",0.000166628856728742,0.00962808309021916,0.00870161682794927,"122622/116987/50808/205/23647/285598/200894/10124/55207/51062/998/1612/1759/10059/1785/26052/51143/1938/79631/9343/30844/1968/9669/2288/85476/2747/2768/2771/2778/2781/54707/2935/23708/8225/29083/2982/60558/10767/3265/3326/64792/11020/3643/126298/3845/9258/55669/166785/744/92170/26164/4528/28512/4882/4893/318/29789/5106/8766/201475/51552/376267/22931/81876/23011/57403/51715/53917/57111/8934/5862/84932/9609/23682/116442/5869/4218/9367/51209/55684/5901/57826/65997/51285/6016/10670/10325/64121/6242/55964/10801/6674/6729/6734/58477/7284/139596",97
"129","pink","GO:0005201","extracellular matrix structural constituent","43/197","158/16969",1.70431235033281e-47,5.41971327405832e-45,4.4850325008758e-45,"165/54829/633/3491/1300/1301/1303/1307/80781/1277/1278/1281/1282/1284/1289/1290/50509/1291/1292/1293/1295/1296/1311/115908/10085/30008/11117/2200/2335/3912/3913/4148/25878/4811/22795/5118/10631/7837/6678/27286/7057/7058/1462",43
"131","pink","GO:0005518","collagen binding","16/197","61/16969",7.54874272360817e-18,8.00166728702466e-16,6.62170414351594e-16,"165/84168/54829/50509/1311/2335/22801/131578/4322/9902/4811/22795/64175/5118/6678/7057",16
"144","pink","GO:0005507","copper ion binding","6/197","53/16969",3.3079088715175e-05,0.000657446888214103,0.000544063959131167,"2817/9843/4015/4016/4017/23627",6
"145","pink","GO:0004222","metalloendopeptidase activity","7/197","89/16969",7.87915226363116e-05,0.00147386495284395,0.001219683012946,"8038/81792/9509/2191/4322/4325/4313",7
"147","pink","GO:0030545","receptor regulator activity","15/197","425/16969",0.000136254948800127,0.00228047756412844,0.00188718765651146,"100506013/1490/6320/123920/2200/10468/2621/26585/2922/3624/4681/7837/7043/7292/7472",15
"150","tan","GO:0042605","peptide antigen binding","7/44","30/16969",9.29936262810981e-13,9.6713371332342e-11,7.63526615781647e-11,"3105/3106/3107/3133/3134/3135/6892",7
"154","tan","GO:0042287","MHC protein binding","4/44","38/16969",2.72121504655551e-06,5.66012729683546e-05,4.46852155013326e-05,"972/975/3133/6892",4
